user_name,user_id,product_id,product_name,category,price,purchase_date
Jamie,495,35808,Suéter de Tricô em Algodão da Malwee,Masculino,R$ 69.99,2024-10-18
Gabriela,456,35842,Parka com Capuz e Forro em Pelo Sintético,Unissex,R$ 249.99,2023-10-27
Gustavo,476,35836,Vestido Casual em Malha de Algodão,Feminino,R$ 79.99,2024-07-30
Henrique,477,35832,Saia Jeans Midi da Levi's,Feminino,R$ 99.99,2024-10-26
Matheus,481,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-09-27
Morgan,497,35817,Uniforme Esportivo Adidas Condivo 20,Masculino,R$ 179.99,2024-08-01
Casey,492,35805,Bermuda de Praia Hering com Estampa Tropical,Masculino,R$ 49.99,2024-08-12
Yuri,489,35825,Macacão Jeans com Cintura Alta da Renner,Feminino,R$ 119.99,2023-12-31
Bruno,471,35849,Camisa de Manga Longa em Viscose da H&M,Unissex,R$ 79.99,2024-07-08
Jamie,495,35802,Terno Slim Fit em Lã Fria,Masculino,R$ 599.99,2024-10-11
Juliana,459,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2023-11-20
Paulo,484,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2023-12-28
Felipe,475,35834,Jaqueta Jeans Oversized da C&A,Feminino,R$ 119.99,2024-05-09
Casey,492,35801,Camiseta Nike Dri-FIT Essential,Masculino,R$ 89.99,2024-06-02
Fernanda,455,35831,Calça de Alfaiataria da Animale,Feminino,R$ 89.99,2024-02-22
Luana,461,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2024-03-27
Dani,494,35812,Casaco Trench Coat em Tecido Impermeável,Masculino,R$ 399.99,2024-05-09
Camila,452,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2023-12-15
Eloá,454,35840,Camiseta Tie-Dye da Vans,Unissex,R$ 89.99,2024-02-15
Helena,457,35833,Moletom Feminino com Capuz da Adidas,Feminino,R$ 179.99,2023-12-30
Camila,452,35810,Regata Champion em Algodão,Masculino,R$ 39.99,2024-05-24
Victor,488,35803,Blazer Masculino em Tecido de Algodão,Masculino,R$ 199.99,2023-12-14
Skyler,499,35800,Camiseta Adidas Essentials Linear,Masculino,R$ 99.99,2023-12-22
